"FacultyID","Month","Total bookings","Cumulative number of booking records"
"FIT","January  ","   260","   260"
"FIT","February ","   230","   490"
"FIT","March    ","   234","   724"
"FIT","April    ","   228","   952"
"FIT","May      ","   245"," 1,197"
"FIT","June     ","   252"," 1,449"
"FIT","July     ","   249"," 1,698"
"FIT","August   ","   245"," 1,943"
"FIT","September","   274"," 2,217"
"FIT","October  ","   256"," 2,473"
"FIT","November ","   251"," 2,724"
"FIT","December ","   251"," 2,975"
